AP1G1	AP2M1
AP2B1	AP2M1
AP1G1	AP2S1
AP3B1	AP3S2
AP3D1	AP3S2
AP3M1	AP3S2
AP4B1	AP4E1
AP4B1	AP4M1
AP4E1	AP4M1
AP4E1	AP4S1
ABI1	APBB1
ACTN1	APC
AGFG1	APC
ANKRD17	APC
ANXA7	APC
AP2B1	APC
ACTA1	APC2
ANAPC1	APC2
ANAPC10	APC2
ANAPC11	APC2
ANAPC4	APC2
ANAPC5	APC2
ANAPC7	APC2
ANP32A	APEX1
APAF1	APIP
ACVR2B	APITD1
APBB1	APLP1
APBB3	APLP1
APBB1	APLP2
APBB3	APLP2
ABCA1	APOA1
APOA1	APOA1BP
A1CF	APOBEC1
APOBEC1	APOBEC2
APOBEC1	APOBEC3A
APOBEC2	APOBEC3A
APOBEC1	APOBEC3B
APOBEC2	APOBEC3B
APOBEC3A	APOBEC3B
APOBEC1	APOBEC3C
APOBEC2	APOBEC3C
APOBEC3A	APOBEC3C
APOBEC3B	APOBEC3C
APOBEC1	APOBEC3F
APOBEC2	APOBEC3F
APOBEC3A	APOBEC3F
APOBEC3B	APOBEC3F
APOBEC3C	APOBEC3F
APOBEC1	APOBEC3G
APOBEC2	APOBEC3G
APOBEC3A	APOBEC3G
APOBEC3B	APOBEC3G
APOBEC3C	APOBEC3G
APOBEC3F	APOBEC3G
APOBEC1	APOBEC4
APOBEC2	APOBEC4
APOBEC3A	APOBEC4
APOBEC3B	APOBEC4
APOBEC3C	APOBEC4
APOBEC3F	APOBEC4
APOBEC3G	APOBEC4
APOA1	APOC1
APOA2	APOD
A2M	APOE
APOA1	APOF
APOA2	APOF
ANXA2	APOH
APOA1	APOL1
ACHE	APP
APBA1	APP
APBA2	APP
APBA3	APP
APBB1	APP
APBB2	APP
APBB3	APP
APP	APPBP2
AKT2	APPL1
APPL1	APPL2
ACVR1	APRIN
ADSL	APRT
AP2M1	AQP4
AES	AR
AKT1	AR
ABI2	ARAF
ACO1	ARAF
AFF4	ARAF
AGGF1	ARAF
AK1	ARAF
AK2	ARAF
AKT3	ARAF
APITD1	ARAF
AP1B1	ARF1
AP1G1	ARF1
AP3S2	ARF1
AP4E1	ARF1
AP4M1	ARF1
AP3B1	ARF5
AP3B1	ARF6
AP3S2	ARF6
ARFGEF1	ARFGEF2
ARF1	ARFIP1
ARF3	ARFIP1
ARF5	ARFIP1
AKT1	ARFIP2
ARF1	ARFIP2
ARF3	ARFIP2
ARF5	ARFIP2
ARF6	ARFIP2
ABL1	ARHGAP17
ACVR1	ARHGAP20
ACVR1B	ARHGAP20
ACY1	ARHGAP20
ADCK1	ARHGAP20
ADCK2	ARHGAP20
ADRBK1	ARHGAP20
AKT1	ARHGAP29
AKT1	ARHGAP32
ACTL6A	ARHGDIA
APC	ARHGEF4
ADNP	ARID1A
ARID1A	ARID1B
ARAF	ARID3A
ARID4A	ARID4B
ARAF	ARIH2
ARAP1	ARIH2
ARFIP2	ARL1
ARL2	ARL2BP
ARL2BP	ARL3
ARL6	ARL6IP1
ARL6	ARL6IP4
ARL6	ARL6IP5
ARL6	ARL6IP6
AP1S1	ARMC6
AHR	ARNT
AHRR	ARNT
AIP	ARNT
AHR	ARNTL
ACTR3B	ARPC1A
ACTR3	ARPC1B
ACTR3B	ARPC1B
ACTR3	ARPC2
ACTR3B	ARPC2
ACTR3	ARPC3
ACTR3B	ARPC3
ARAP1	ARPC3
ARPC2	ARPC3
ACTR3B	ARPC3B
ACTR3	ARPC4
ACTR3B	ARPC4
ARPC2	ARPC4
ARPC3	ARPC4
ACTR3B	ARPC5
ARPC4	ARPC5
ACTR3B	ARPC5L
ARPC4	ARPC5L
AP1B1	ARR3
AP2B1	ARR3
AP3B2	ARR3
ADRB1	ARRB1
AP3B1	ARRB1
ARF6	ARRB1
ARR3	ARRB1
AP2B1	ARRB2
AP3B1	ARRB2
ARF6	ARRB2
ARRB1	ARRB2
ADRB2	ARRDC3
ARF6	ASAP1
ACVR2B	ASCC1
ARAF	ASCC1
ACVR2B	ASCC3
ARAF	ASCC3
ADC	ASL
ADSL	ASL
ARG1	ASL
ARG2	ASL
AANAT	ASMT
ALDH1A3	ASMT
