GRIN2D	KRAS
DOK2	KRAS
GRIN2C	KRAS
CD209	KRAS
GRIN1	KRAS
FLT3LG	KRAS
ALK	KRAS
ACTR10	ARF3
ARCN1	ARF3
ANK1	ARF3
ANK3	ARF3
ANK2	ARF3
ACTR1A	ARF3
ARF1	ARF3
ARF5	DYNC1LI2
DCTN6	DYNC1LI2
BET1	DYNC1LI2
COPB1	DYNC1LI2
ACTR10	DYNC1LI2
ARF3	DYNC1LI2
COG3	DYNC1LI2
DCTN3	DYNC1LI2
COPE	DYNC1LI2
CAPZA1	DYNC1LI2
ARFGAP3	DYNC1LI2
ARCN1	DYNC1LI2
CENPE	DYNC1LI2
ANK1	DYNC1LI2
DYNC1LI1	DYNC1LI2
ANK3	DYNC1LI2
ACTR1B	DYNC1LI2
COG5	DYNC1LI2
COG1	DYNC1LI2
DCTN5	DYNC1LI2
COG7	DYNC1LI2
COG8	DYNC1LI2
ARF4	DYNC1LI2
ARFGAP1	DYNC1LI2
COG4	DYNC1LI2
DYNC1I1	DYNC1LI2
COPG1	DYNC1LI2
CAPZA3	DYNC1LI2
COPB2	DYNC1LI2
DYNC1H1	DYNC1LI2
ANK2	DYNC1LI2
DCTN1	DYNC1LI2
CAPZA2	DYNC1LI2
COG2	DYNC1LI2
CD55	DYNC1LI2
COPA	DYNC1LI2
ACTR1A	DYNC1LI2
BET1L	DYNC1LI2
CD59	DYNC1LI2
DYNC1I2	DYNC1LI2
COG6	DYNC1LI2
CAPZB	DYNC1LI2
COPG2	DYNC1LI2
DCTN2	DYNC1LI2
DCTN4	DYNC1LI2
ARFGAP2	DYNC1LI2
ARF1	DYNC1LI2
COPZ1	DYNC1LI2
COPZ2	DYNC1LI2
CDC5L	DYNC1LI2
CDC42	DYNC1LI2
CCNB1	DYNC1LI2
BUB1B	DYNC1LI2
CCNB2	DYNC1LI2
BIRC5	DYNC1LI2
BUB1	DYNC1LI2
AURKB	DYNC1LI2
CENPA	DYNC1LI2
CENPF	DYNC1LI2
CDC20	DYNC1LI2
CDCA8	DYNC1LI2
CDK1	DYNC1LI2
BICD1	DYNC1LI2
BICD2	DYNC1LI2
AR	DYNC1LI2
CENPM	DYNC1LI2
B9D2	DYNC1LI2
CLASP1	DYNC1LI2
CENPC	DYNC1LI2
CDCA5	DYNC1LI2
CENPU	DYNC1LI2
CENPH	DYNC1LI2
CENPS	DYNC1LI2
CENPQ	DYNC1LI2
CENPL	DYNC1LI2
AHCTF1	DYNC1LI2
BUB3	DYNC1LI2
CENPI	DYNC1LI2
CENPP	DYNC1LI2
CENPO	DYNC1LI2
